,ГОСТ,Размер,Наименование,Компания,Город,Тип_продукции,Размер_A,Типоразмер,Марка,Примечание_для_размера,Размер_B,Толщина,Диапазон_min,Диапазон_max,Размер_C,Минимальная_длина,Максимальная_длина,Упаковка,Примечание_для_цены,Тип_материала,Основная_марка,Свариваемость,Тип_стандарта,Номер_стандарта,Год_стандарта,Категория_цены,Звоните,Цена,Условие_цены
29,ГОСТ 34028-2016,14,Арматура А1,Сталепромышленная компания,Барнаул,Число,14.0,,,,,,,,,6.0,6.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,56000.0,>10т
30,ГОСТ 34028-2016,16,Арматура А1,Сталепромышленная компания,Барнаул,Число,16.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,56000.0,>10т
31,ГОСТ 34028-2016,18,Арматура А1,Сталепромышленная компания,Барнаул,Число,18.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,56000.0,>10т
32,ГОСТ 34028-2016,20,Арматура А1,Сталепромышленная компания,Барнаул,Число,20.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,56000.0,>10т
33,ГОСТ 34028-2016,22,Арматура А1,Сталепромышленная компания,Барнаул,Число,22.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,56000.0,>10т
34,ГОСТ 34028-2016,6,Арматура А1,Сталепромышленная компания,Белгород,Число,6.0,,,,,,,,,6.0,6.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,54000.0,>10т
35,ГОСТ 34028-2016,6,Арматура А1,Сталепромышленная компания,Белгород,Число,6.0,,,,,,,,,,,бухты,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,53000.0,>10т
36,ГОСТ 34028-2016,8,Арматура А1,Сталепромышленная компания,Белгород,Число,8.0,,,,,,,,,6.0,6.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,50000.0,>10т
37,ГОСТ 34028-2016,10,Арматура А1,Сталепромышленная компания,Белгород,Число,10.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,51000.0,>10т
38,ГОСТ 5781-82,14,Арматура А1,Сталепромышленная компания,Благовещенск,Число,14.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,62500.0,>10т
39,ГОСТ 5781-82,16,Арматура А1,Сталепромышленная компания,Благовещенск,Число,16.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,62500.0,>10т
40,ГОСТ 5781-82,18,Арматура А1,Сталепромышленная компания,Благовещенск,Число,18.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,62500.0,>10т
41,ГОСТ 5781-82,20,Арматура А1,Сталепромышленная компания,Благовещенск,Число,20.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,62500.0,>10т
