,ГОСТ,"Цена, р./пог.м","Цена, р./кг",Размер,"Цена, р./шт.","Цена, р./т",Доп. размер,Наименование,Сталь,"Цена, р./м2",Компания,Город
3987, ,,, 50,,614 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
3988, ,,, 50,,614 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
3989, ,,, 30,,614 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
3990, ,,, 50,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
3991, ,,, 30,,342 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
3992, ,,, 65,,342 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
3993, ,,, 12,,404 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
3994, ,,, 10,,656 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
3995, ГОСТ 2590-2006 ,,, 6,,52 300 >10т,6,Круг  ,3пс/сп,,Сталепромышленная компания,Волгоград
3996, ГОСТ 2590-2006 ,,, 6,,52 300 >10т,,Круг  ,3пс/сп,,Сталепромышленная компания,Волгоград
3997, ГОСТ 2590-2006 ,,, 6.5,,51 500 >10т,6,Круг  ,3пс/сп,,Сталепромышленная компания,Волгоград
3998, ГОСТ 2590-2006 ,,, 8,,50 800 >10т,6,Круг  ,3пс/сп,,Сталепромышленная компания,Волгоград
3999, ГОСТ 2590-2006 ,,, 8,,50 800 >10т,11.7,Круг  ,3пс/сп,,Сталепромышленная компания,Волгоград
4000, ГОСТ 2590-2006 ,,, 8,,50 800 >10т,12,Круг  ,3пс/сп,,Сталепромышленная компания,Волгоград
4001, ГОСТ 2590-2006 ,,, 10,,50 300 >10т,11.7,Круг  ,3пс/сп,,Сталепромышленная компания,Волгоград
4002, ГОСТ 2590-2006 ,,, 10,,50 300 >10т,12,Круг  ,3пс/сп,,Сталепромышленная компания,Волгоград
4003, ГОСТ 2590-2006 ,,, 12,,52 300 >10т,11.7,Круг  ,3пс/сп,,Сталепромышленная компания,Волгоград
4004, ГОСТ 2590-2006 ,,, 12,,52 300 >10т,11.7,Круг  ,3пс5/сп5,,Сталепромышленная компания,Волгоград
4005, ГОСТ 2590-2006 ,,, 16,,52 300 >10т,11.7,Круг  ,3пс/сп,,Сталепромышленная компания,Волгоград
4006, ГОСТ 2590-88 ,,, 36,,63 750 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4007, ГОСТ 2590-88 ,,, 32,,74 256 ,,Круг  ,ст20,,Новосталь-Маркет,Москва
4008, ГОСТ 2590-88 ,,, 36,,65 280 ,,Круг  ,09Г2С,,Новосталь-Маркет,Москва
4009, ГОСТ 2590-88 ,,, 32,,82 416 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4010, ГОСТ 2590-88 ,,, 32,,67 830 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4011, ,,, 150,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4012, ,,, 145,,630 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4013, ,,, 35,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4014, ,,, 35,,614 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4015, ,,, 36,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4016, ,,, 36,,614 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4017, ,,, 38,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4018, ,,, 38,,342 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
4019, ,,, 40,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4020, ГОСТ 2590-88 ,,, 90,,73 236 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4021, ,,, 10,,679 000 ,,Круг  ,10Х23Н18,,УТК-Сталь,Москва
4022, ГОСТ 2590-88 ,,, 90,,69 462 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4023, ГОСТ 2590-88 ,,, 80,,54 570 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4024, ,,, 10,,353 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4025, ,,, 10,,406 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4026, ,,, 9,,400 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
4027, ,,, 8,,667 000 ,,Круг  ,08Х17Н13М2Т 10Х17Н13М2Т,,УТК-Сталь,Москва
4028, ,,, 8,,400 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4029, ,,, 6,,818 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4030, ,,, 6,,434 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
4031, ,,, 6,,420 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4032, ГОСТ 2590-88 ,,, 100,,64 464 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4033, ГОСТ 2590-88 ,,, 50,,64 250 ,,Круг  ,09Г2С,,Новосталь-Маркет,Москва
4034, ГОСТ 2590-2006 ,,, 30,,57 300 >10т,12,Круг  ,3пс/сп,,Сталепромышленная компания,Кемерово
4035, ГОСТ 2590-2006 ,,, 6.5,,64 800 >10т,6,Круг  ,3пс/сп,,Сталепромышленная компания,Кемерово
4036, ГОСТ 2590-88 ,,, 56,,60 690 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4037, ГОСТ 2590-88 ,,, 60,,74 256 ,,Круг  ,ст20,,Новосталь-Маркет,Москва
4038, ГОСТ 2590-88 ,,, 60,,54 570 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4039, ГОСТ 2590-88 ,,, 60,,74 256 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4040, ГОСТ 2590-88 ,,, 65,,74 256 ,,Круг  ,ст20,,Новосталь-Маркет,Москва
4041, ГОСТ 2590-88 ,,, 65,,74 256 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4042, ГОСТ 2590-88 ,,, 65,,74 256 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4043, ГОСТ 2590-88 ,,, 70,,74 256 ,,Круг  ,ст20,,Новосталь-Маркет,Москва
4044, ГОСТ 2590-88 ,,, 70,,72 114 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4045, ГОСТ 2590-88 ,,, 70,,74 256 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4046, ГОСТ 2590-88 ,,, 80,,68 340 ,,Круг  ,40Х,,Новосталь-Маркет,Москва
4047, ГОСТ 2590-88 ,,, 80,,63 240 ,,Круг  ,ст20,,Новосталь-Маркет,Москва
4048, ГОСТ 2590-88 ,,, 80,,74 256 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4049, ГОСТ 2590-88 ,,, 90,,82 722 ,,Круг  ,ст20,,Новосталь-Маркет,Москва
4050, ГОСТ 2590-88 ,,, 36,,60 690 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4051, ,,, 180,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4052, ,,, 65,,614 000 ,,Круг  ,08Х17Н13М2Т 10Х17Н13М2Т,,УТК-Сталь,Москва
4053, ГОСТ 2590-2006 ,,, 190,,88 190 >10т,н/д,Круг  ,ст45,,Сталепромышленная компания,Казань
4054, ГОСТ 2590-2006 ,,, 140,,76 530 >10т,н/д,Круг  ,40Х,,Сталепромышленная компания,Казань
4055, ,,, 150,,630 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4056, ГОСТ 2590-2006 ,,, 120,,72 290 >10т,н/д,Круг  ,ст45,,Сталепромышленная компания,Казань
4057, ГОСТ 2590-2006 ,,, 100,,72 290 >10т,н/д,Круг  ,ст45,,Сталепромышленная компания,Казань
4058, ГОСТ 2590-2006 ,,, 90,,72 290 >10т,н/д,Круг  ,ст45,,Сталепромышленная компания,Казань
4059, ,,, 120,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4060, ГОСТ 2590-2006 ,,, 70,,71 230 >10т,н/д,Круг  ,ст45,,Сталепромышленная компания,Казань
4061, ,,, 115,,342 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
4062, ,,, 115,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4063, ГОСТ 2590-2006 ,,, 60,,75 470 >10т,н/д,Круг  ,09Г2С,,Сталепромышленная компания,Казань
4064, ,,, 110,,225 000 ,,Круг  ,40Х13,,УТК-Сталь,Москва
4065, ГОСТ 2590-2006 ,,, 60,,71 230 >10т,н/д,Круг  ,ст45,,Сталепромышленная компания,Казань
4066, ГОСТ 2590-2006 ,,, 42,,75 470 >10т,6,Круг  ,09Г2С,,Сталепромышленная компания,Казань
4067, ,,, 110,,201 000 ,,Круг  ,20Х13,,УТК-Сталь,Москва
4068, ,,, 150,,225 000 ,,Круг  ,20Х13,,УТК-Сталь,Москва
4069, ГОСТ 2590-2006 ,,, 36,,56 260 >10т,11.7,Круг  ,3пс/сп,,Сталепромышленная компания,Казань
4070, ГОСТ 2590-2006 ,,, 36,,56 780 >10т,12,Круг  ,3пс/сп,,Сталепромышленная компания,Казань
4071, ,,, 150,,225 000 ,,Круг  ,40Х13,,УТК-Сталь,Москва
4072, ГОСТ 2590-2006 ,,, 32,,49 710 >10т,12,Круг  ,3пс5/сп5,,Сталепромышленная компания,Казань
4073, ГОСТ 2590-2006 ,,, 30,,50 750 >10т,6,Круг  ,3пс5/сп5,,Сталепромышленная компания,Казань
4074, ГОСТ 2590-2006 ,,, 30,,49 190 >10т,11.7,Круг  ,3пс/сп,,Сталепромышленная компания,Казань
4075, ГОСТ 2590-88 ,,, 40,,71 094 ,,Круг  ,40Х,,Новосталь-Маркет,Москва
4076, ,,, 160,,225 000 ,,Круг  ,20Х13,,УТК-Сталь,Москва
4077, ГОСТ 2590-2006 ,,, 24,,49 190 >10т,11.7,Круг  ,3пс/сп,,Сталепромышленная компания,Казань
4078, ,,, 120,,225 000 ,,Круг  ,40Х13,,УТК-Сталь,Москва
4079, ГОСТ 2590-2006 ,,, 22,,71 230 >10т,6,Круг  ,ст20,,Сталепромышленная компания,Казань
4080, ГОСТ 2590-2006 ,,, 36,,56 000 >10т,12,Круг  ,3пс/сп,,Сталепромышленная компания,Барнаул
4081, ,,, 150,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4082, ,,, 130,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4083, ГОСТ 2590-88 ,,, 50,,54 570 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4084, ГОСТ 2590-88 ,,, 50,,67 422 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4085, ГОСТ 2590-88 ,,, 200,,78 540 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4086, ГОСТ 2590-88 ,,, 200,,78 540 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4087, ГОСТ 2590-88 ,,, 160,,72 420 ,,Круг  ,ст35,,Новосталь-Маркет,Москва
4088, ГОСТ 2590-88 ,,, 160,,73 134 ,,Круг  ,ст3,,Новосталь-Маркет,Москва
4089, ,,, 130,,225 000 ,,Круг  ,40Х13,,УТК-Сталь,Москва
4090, ГОСТ 2590-88 ,,, 150,,71 094 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4091, ,,, 135,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4092, ,,, 140,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4093, ,,, 140,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4094, ГОСТ 2590-88 ,,, 140,,72 216 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4095, ГОСТ 2590-2006 ,,, 36,,59 000 >10т,12,Круг  ,3пс/сп,,Сталепромышленная компания,Иркутск
4096, ГОСТ 2590-2006 ,,, 30,,59 000 >10т,12,Круг  ,3пс/сп,,Сталепромышленная компания,Иркутск
4097, ГОСТ 2590-88 ,,, 130,,69 360 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4098, ГОСТ 2590-88 ,,, 120,,71 298 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4099, ГОСТ 2590-2006 ,,, 6.5,,64 000 >10т,6,Круг  ,3пс/сп,,Сталепромышленная компания,Иркутск
4100, ,,, 140,,225 000 ,,Круг  ,40Х13,,УТК-Сталь,Москва
4101, ГОСТ 2590-88 ,,, 120,,73 134 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4102, ,,, 145,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4103, ГОСТ 2590-88 ,,, 110,,72 420 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4104, ГОСТ 7417-75 ,,, 100,,71 094 ,,Круг  ,40Х,,Новосталь-Маркет,Москва
4105, ,,, 130,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4106, ГОСТ 2590-88 ,,, 100,,73 236 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4107, ,,, 125,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4108, ГОСТ 2590-2006 ,,, 20,,75 470 >10т,6,Круг  ,09Г2С,,Сталепромышленная компания,Казань
4109, ,,, 105,,342 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
4110, ,,, 100,,201 000 ,,Круг  ,20Х13,,УТК-Сталь,Москва
4111, ГОСТ 2590-2006 ,,, 6.5,,63 500 >10т,6,Круг  ,3пс/сп,,Сталепромышленная компания,Абакан
4112, ,,, 230,,394 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4113, ГОСТ 2590-2006 ,,, 20,,71 230 >10т,6,Круг  ,ст20,,Сталепромышленная компания,Казань
4114, ,,, 80,,679 000 ,,Круг  ,10Х23Н18,,УТК-Сталь,Москва
4115, ,,, 80,,614 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4116, ,,, 120,,58 500 ,,Круг  ,ст3,,Омега Металл,Москва
4117, ,,, 220,,363 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4118, ,,, 90,,59 500 ,,Круг  ,ст3,,Омега Металл,Москва
4119, ,,, 80,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4120, ,,, 210,,363 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4121, ,,, 50,,57 500 ,,Круг  ,ст3,,Омега Металл,Москва
4122, ,,, 200,,326 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
4123, ,,, 75,,614 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4124, ,,, 75,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4125, ,,, 75,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4126, ,,, 200,,363 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4127, ,,, 70,,201 000 ,,Круг  ,30Х13,,УТК-Сталь,Москва
4128, ,,, 200,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4129, ,,, 70,,614 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4130, ,,, 190,,667 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4131, ГОСТ 2590-88 ,,, 40,,54 570 ,,Круг  ,ст20,,Новосталь-Маркет,Москва
4132, ,,, 70,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4133, ,,, 190,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4134, ,,, 190,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4135, ,,, 180,,225 000 ,,Круг  ,40Х13,,УТК-Сталь,Москва
4136, ГОСТ 2590-2006 ,,, 30,,58 000 >10т,12,Круг  ,3пс/сп,,Сталепромышленная компания,Абакан
4137, ГОСТ 2590-2006 ,,, 36,,58 000 >10т,12,Круг  ,3пс/сп,,Сталепромышленная компания,Абакан
4138, ,,, 250,,84 000 ,0.47,Круг  ,ст3,,Омега Металл,Москва
4139, ГОСТ 2590-88 ,,, 30,,59 160 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4140, ГОСТ 2590-2006 ,,, 18,,75 470 >10т,6,Круг  ,09Г2С,,Сталепромышленная компания,Казань
4141, ГОСТ 2590-2006 ,,, 16,,75 470 >10т,6,Круг  ,09Г2С,,Сталепромышленная компания,Казань
4142, ГОСТ 2590-2006 ,,, 16,,71 230 >10т,6,Круг  ,ст20,,Сталепромышленная компания,Казань
4143, ГОСТ 2590-2006 ,,, 12,,49 710 >10т,6,Круг  ,3пс/сп,,Сталепромышленная компания,Казань
4144, ,,, 100,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4145, ,,, 160,,225 000 ,,Круг  ,40Х13,,УТК-Сталь,Москва
4146, ,,, 100,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4147, ГОСТ 2590-88 ,,, 40,,74 256 ,,Круг  ,ст45,,Новосталь-Маркет,Москва
4148, ,,, 250,,394 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
4149, ,,, 85,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4150, ,,, 240,,714 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4151, ,,, 240,,394 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4152, ,,, 95,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4153, ,,, 40,,679 000 ,,Круг  ,10Х23Н18,,УТК-Сталь,Москва
4154, ГОСТ 2590-2006 ,,, 30,,55 280 >10т,12,Круг  ,3пс/сп,,Сталепромышленная компания,Барнаул
4155, ГОСТ 2590-88 ,,, 30,,75 276 ,,Круг  ,1-3сп/пс,,Новосталь-Маркет,Москва
4156, ,,, 350,,557 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
4157, ГОСТ 2590-88 ,,, 40,,85 476 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4158, ,,, 170,,342 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4159, ,,, 360,,730 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4160, ,,, 330,,557 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4161, ,,, 400,,557 000 ,,Круг  ,08Х18Н10Т 12Х18Н10Т,,УТК-Сталь,Москва
4162, ГОСТ 2590-88 ,,, 30,,63 444 ,,Круг  ,3сп/пс,,Новосталь-Маркет,Москва
4163, ,,, 90,,614 000 ,,Круг  ,08Х17Н13М2Т,,УТК-Сталь,Москва
4164, ,,, 450,,557 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
4165, ГОСТ 2590-2006 ,,, 6.5,,61 500 >10т,6,Круг  ,3пс/сп,,Сталепромышленная компания,Барнаул
4166, ,,, 170,,328 000 ,,Круг  ,14Х17Н2,,УТК-Сталь,Москва
4167, ,,, 320,,557 000 ,,Круг  ,08Х18Н10Т,,УТК-Сталь,Москва
4168, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 30,,звоните ,н/д,Круг  2ГП В1 ТВ2 ТО,ст20,,Мечел-Сервис,Москва
4169, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 45,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4170, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 45,,51 500 ,н/д,Круг  2ГП без т/о,ст35,,Мечел-Сервис,Москва
4171, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 32,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4172, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 40,,51 500 ,н/д,Круг  2ГП без т/о,ст20,,Мечел-Сервис,Москва
4173, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 32,,51 500 ,н/д,Круг  2ГП без т/о,ст35,,Мечел-Сервис,Москва
4174, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 30,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4175, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 20,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4176, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 40,,51 500 ,н/д,Круг  2ГП без т/о,ст35,,Мечел-Сервис,Москва
4177, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 25,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4178, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 85,,53 700 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4179, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 120,,63 200 ,н/д,Круг  2ГП без т/о,40Х,,Мечел-Сервис,Москва
4180, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 90,,53 700 ,н/д,Круг  2ГП без т/о,ст35,,Мечел-Сервис,Москва
4181, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 80,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4182, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 80,,51 500 ,н/д,Круг  2ГП без т/о,ст20,,Мечел-Сервис,Москва
4183, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 180,,56 900 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4184, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 75,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4185, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 70,,55 700 ,н/д,Круг  2ГП без т/о,40Х,,Мечел-Сервис,Москва
4186, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 70,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4187, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 200,,72 800 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4188, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 70,,51 500 ,н/д,Круг  2ГП без т/о,ст35,,Мечел-Сервис,Москва
4189, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 90,,53 700 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4190, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 65,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4191, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 60,,51 500 ,н/д,Круг  2ГП без т/о,ст20,,Мечел-Сервис,Москва
4192, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 100,,63 200 ,н/д,Круг  2ГП без т/о,40Х,,Мечел-Сервис,Москва
4193, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 60,,51 500 ,н/д,Круг  2ГП без т/о,ст35,,Мечел-Сервис,Москва
4194, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 130,,56 900 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4195, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 60,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4196, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 150,,63 200 ,н/д,Круг  2ГП без т/о,40Х,,Мечел-Сервис,Москва
4197, ГОСТ 14959-2016 ГОСТ 2590-2006 ,,, 60,,звоните ,н/д,Круг  2ГП без т/о,60С2А,,Мечел-Сервис,Москва
4198, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 58,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4199, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 56,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4200, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 140,,63 200 ,н/д,Круг  2ГП без т/о,40Х,,Мечел-Сервис,Москва
4201, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 50,,51 500 ,н/д,Круг  2ГП без т/о,ст20,,Мечел-Сервис,Москва
4202, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 120,,56 900 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4203, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 50,,51 500 ,н/д,Круг  2ГП без т/о,ст35,,Мечел-Сервис,Москва
4204, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 50,,51 500 ,н/д,Круг  2ГП без т/о,ст45,,Мечел-Сервис,Москва
4205, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 20,,звоните ,6,Круг  2ГП без т/о II,18ХГТ,,Мечел-Сервис,Москва
4206, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 16,,звоните ,6,Круг  2ГП без т/о II,18ХГТ,,Мечел-Сервис,Москва
4207, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 140,,56 900 ,н/д,Круг  2ГП без т/о В1,ст45,,Мечел-Сервис,Москва
4208, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 110,,56 900 ,н/д,Круг  2ГП без т/о В1,ст35,,Мечел-Сервис,Москва
4209, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 105,,56 900 ,н/д,Круг  2ГП без т/о В1,ст45,,Мечел-Сервис,Москва
4210, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 100,,56 900 ,н/д,Круг  2ГП без т/о В1,ст45,,Мечел-Сервис,Москва
4211, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 115,,звоните ,н/д,Круг  2ГП без т/о В1,40ХН2МА,,Мечел-Сервис,Москва
4212, ГОСТ 1050-2013 ГОСТ 2590-2006 ,,, 110,,56 900 ,н/д,Круг  2ГП без т/о В1,ст45,,Мечел-Сервис,Москва
4213, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 45,,55 700 ,н/д,Круг  2ГП без т/о В1,40Х,,Мечел-Сервис,Москва
4214, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 80,,55 700 ,н/д,Круг  2ГП без т/о В1,40Х,,Мечел-Сервис,Москва
4215, ГОСТ 4543-2016 ГОСТ 2590-2006 ,,, 65,,55 700 ,н/д,Круг  2ГП без т/о В1,40Х,,Мечел-Сервис,Москва
